0 7.5e-08
100 1.16e-07
200 1.32e-07
300 1.6e-07
400 1.17e-07
500 1.17e-07
600 1.29e-07
700 1.45e-07
800 1.1e-07
900 7.4e-08
1000 1.34e-07
