0 1.042e-06
100 1.086e-06
200 9.21e-07
300 9.57e-07
400 8.6e-07
500 8.31e-07
600 9.03e-07
700 1.227e-06
800 1.257e-06
900 1.221e-06
1000 1.318e-06
1100 1.232e-06
1200 1.259e-06
1300 1.211e-06
1400 1.211e-06
1500 1.231e-06
1600 1.259e-06
1700 1.645e-06
1800 1.306e-06
1900 1.127e-06
2000 1.27e-06
2100 1.232e-06
2200 1.003e-06
2300 1.106e-06
2400 9.88e-07
2500 1.061e-06
2600 1.09e-06
2700 1.097e-06
2800 1.127e-06
2900 1.092e-06
3000 9.47e-07
3100 9.04e-07
3200 9.29e-07
3300 1.106e-06
3400 9.14e-07
3500 9.16e-07
3600 9.04e-07
3700 9.15e-07
3800 9.16e-07
3900 1.025e-06
4000 8.51e-07
4100 9.15e-07
4200 1.022e-06
4300 8.82e-07
4400 8.68e-07
4500 8.45e-07
4600 8.37e-07
4700 8.37e-07
4800 8.69e-07
4900 8.51e-07
5000 8.4e-07
