0 0.0008
100 0.0009
200 0.0007
300 0.0008
400 0.0008
500 0.0007
600 0.001
700 0.0006
800 0.0007
900 0.0003
1000 0.0004
1100 0.0005
1200 0.0004
1300 0.0005
1400 0.0003
1500 0.0004
1600 0.0003
1700 0.0005
1800 0.0004
1900 0.0007
2000 0.0005
2100 0.0005
2200 0.0004
2300 0.0004
2400 0.0003
2500 0.0003
2600 0.0005
2700 0.0001
2800 0.0004
2900 0.0003
3000 0.0005
3100 0.0005
3200 0.0004
3300 0.0005
3400 0.0003
3500 0.0003
3600 0.0006
3700 0.0004
3800 0.0005
3900 0.0005
4000 0.0002
4100 0.0002
4200 0.0001
4300 0.0003
4400 0.0002
4500 0.0006
4600 0.0002
4700 0.0001
4800 0.0001
4900 0.0002
5000 0.0003
