0 0.001
100 0.0006
200 0.0006
300 0.0007
400 0.0006
500 0.0009
600 0.0005
700 0.0006
800 0.0005
900 0.0006
1000 0.0006
1100 0.0005
1200 0.0007
1300 0.0006
1400 0.0004
1500 0.0004
1600 0.0006
1700 0.0006
1800 0.0004
1900 0.0008
2000 0.0005
2100 0.0009
2200 0.0006
2300 0.0003
2400 0.0002
2500 0.0003
2600 0.0006
2700 0.0004
2800 0.0002
2900 0.0002
3000 0.0003
3100 0.0006
3200 0.0002
3300 0.0002
3400 0.0002
3500 0.0005
3600 0.0002
3700 0
3800 0.0004
3900 0.0003
4000 0.0002
4100 0.0003
4200 0.0003
4300 0.0001
4400 0.0002
4500 0.0001
4600 0.0002
4700 0.0002
4800 0.0002
4900 0.0003
5000 0.0002
